,Bus,C690/3,C689/2,T436,T434,T419,T429,T317,M247,M9,T316,T417,T418,T433,T435,T348,C688/2,C690/3
0,MW4768-0,,,,,,,,,,,,,,183841,184309,184358,184406
1,MW3430-0,,,,,,,,,,184124,184220,184253,184430,184616,184922,184939,
2,MW5035-0,,,,,,,,,184406,184737,184834,184906,184939,,,,
3,MT5945-0,,,,,,,,184003,184939,,,,,,,,
4,MT6427-0,,,,,,,184317,184616,184939,,,,,,,,
5,MS4830-0,,,183922,184108,184301,184608,184939,,,,,,,,,,
6,MW4768-1,,,,,,,,,,,,,,,,,184414
7,MW4768-2,,,,,,,,,,,,,,,,,184422
8,MW4768-3,,,,,,,,,,,,,,,,,184430
9,MW4768-4,,,,,,,,,,,,,,,,,184438
10,MW4768-5,,,,,,,,,,,,,,,,,184447
11,MW4768-6,,,,,,,,,,,,,,,,,184455
12,MW4768-7,,,,,,,,,,,,,,,,,184503
13,MW4768-8,,,,,,,,,,,,,,,,,184511
14,MW4768-9,,,,,,,,,,,,,,,,,184519
15,MW4768-10,,,,,,,,,,,,,,,,,184527
16,MW4768-11,,,,,,,,,,,,,,,,,184535
17,MW4768-12,,,,,,,,,,,,,,,,,184544
18,MW4768-13,,,,,,,,,,,,,,,,,184552
19,MW4768-14,,,,,,,,,,,,,,,,,184624
20,MW4768-15,,,,,,,,,,,,,,,,,184632
21,MW4768-16,,,,,,,,,,,,,,,,,184705
22,MW4768-17,,,,,,,,,,,,,,,,,184745
23,MS4750-0,184850,184939,,,,,,,,,,,,,,,
24,MW4768-18,,,,,,,,,,,,,,,,,184801
25,MW4768-19,,,,,,,,,,,,,,,,,184818
